group,current_models,model_percent,current_endpoints,endpoint_percent,standard_model_ids,at_most_two_current_prompt_levels,median_current_prompt_levels,median_current_tags,all_meter_changes_7d,change_share_7d,input_changes_7d,core_changes_7d,zero_all_meter_models_7d,zero_input_models_7d,full_window_models_7d,full_window_zero_all_meter_models_7d,full_window_zero_input_models_7d,full_window_flat_two_level_models_7d,changes_per_100_endpoint_days_7d,all_meter_changes_30d,change_share_30d,input_changes_30d,core_changes_30d,zero_all_meter_models_30d,zero_input_models_30d,full_window_models_30d,full_window_zero_all_meter_models_30d,full_window_zero_input_models_30d,full_window_flat_two_level_models_30d,changes_per_100_endpoint_days_30d,zero_all_meter_current_endpoints_30d,all_meter_changes_90d,change_share_90d,input_changes_90d,core_changes_90d,zero_all_meter_models_90d,zero_input_models_90d,full_window_models_90d,full_window_zero_all_meter_models_90d,full_window_zero_input_models_90d,full_window_flat_two_level_models_90d,changes_per_100_endpoint_days_90d,zero_all_meter_current_endpoints_90d
deepseek_glm_kimi_qwen,95,23.170731707317074,499,39.384372533543804,86,54,2,2,500,97.0873786407767,491,500,80,80,91,76,76,47,14.485668345005987,1957,91.96428571428571,1910,1957,69,70,78,60,61,40,14.535588859662672,381,3556,87.82415411212645,3434,3555,45,48,72,34,37,26,9.937047928950014,310
major_labs,147,35.853658536585364,386,30.46566692975533,93,116,1,1,1,0.1941747572815534,1,1,146,146,140,139,139,111,0.03760861463282293,36,1.6917293233082706,28,28,135,135,108,100,100,80,0.3854174852726133,362,145,3.5811311434922204,68,71,112,118,74,53,57,45,0.6765608639390268,299
meta_mistral,35,8.536585365853659,94,7.419100236779795,33,29,2,3,0,0.0,0,0,35,35,33,33,33,26,0.0,8,0.37593984962406013,6,8,30,30,28,25,25,20,0.3404869276107824,89,19,0.4692516670782909,14,19,28,30,26,21,23,15,0.31051737109594213,85
misc,64,15.609756097560975,124,9.78689818468824,57,51,1.0,1.0,5,0.970873786407767,5,5,60,60,60,56,56,49,0.5909923142807504,79,3.712406015037594,79,79,50,50,48,35,35,35,2.1924820725923313,104,155,3.8281057051123732,140,155,47,47,39,26,26,26,1.5972507389381652,91
open_weight_families,45,10.975609756097562,117,9.234411996842937,28,27,1,1,8,1.5533980582524272,8,8,43,43,44,42,42,26,0.9757502790532998,47,2.2086466165413534,43,47,35,37,35,26,28,17,1.4135722280407266,104,170,4.198567547542603,153,170,29,33,27,16,20,13,1.8679394003662806,87
other_hosted_candidates,24,5.853658536585366,47,3.7095501183898976,23,23,1.0,1.0,1,0.1941747572815534,1,1,23,23,22,22,22,21,0.31270359879326404,1,0.046992481203007516,1,1,23,23,21,21,21,21,0.0931261325995519,46,4,0.09878982464806126,2,4,21,22,20,19,19,19,0.14570289136253026,43
